French,English,Lituanian
partie,part,dalis
histoire,story,Istorija
chercher,look for,Ieškoti
seulement,only,tik
police,police,policija
pensais,thought,mintis
aide,assistance,pagalba
demande,request,prašymas
genre,gender,Lytis
mois,month,mėnuo
frÃ¨re,degree,laipsnis
laisser,let,leisti
car,because,nes
mettre,put,padėk
aucun,none,nė vienas
laisse,leave alone,palikti vieną
eux,them,juos
ville,town,Miestas
chaque,each,kiekvienas
parlÃ©,spoke,kalbėjo
arrivÃ©,arrive,atvykti
devrait,should,turėtų
bÃ©bÃ©,dodged,Nedaug
longtemps,long time,ilgas laikas
heures,hours,valandos
vont,are going,vyksta
pendant,during,Per
revoir,see again,pamatyti dar kartą
aucune,none,nė vienas
place,square,kvadratas
parle,speak,kalbėti
compris,understood,Supratau
savais,knew,žinojau
Ã©taient,Were,Buvo
attention,Warning,Įspėjimas
voici,here is,čia yra
pourrais,could,galėjo
affaire,affair,reikalas
donner,give,duoti
type,kind,malonus
leurs,their,jų
donnÃ©,given,duota
train,train,traukinys
corps,body,kūnas
endroit,place,vieta
yeux,eyes,akys
faÃ§on,way,būdas
Ã©coute,Loss,Praradimas
dont,whose,Kieno
trouve,find,rasti
premier,first,Pirmas
perdu,lost,Pamesta
main,hand,ranka
premiÃ¨re,first,Pirmas
cÃ´tÃ©,stored,saugoma
pouvoir,power,galia
vieux,old,senas
sois,be,būti
tiens,here,čia
matin,morning,ryto
tellement,so much,Tiek daug
enfant,child,vaikas
point,point,taškas
venu,came,atėjo
suite,after,po
pardon,sorry,Atsiprašau
venez,come,ateiti
devant,before,anksčiau
vers,towards,link
minutes,minutes,minutės
demandÃ©,requested,paprašė
chambre,bedroom,miegamasis
mis,put,padėk
belle,beautiful,graži
droit,right,Teisingai
aimerais,would like to,norėtų
aujourd'hui,today,šiandien
mari,husband,vyras
cause,cause,Priežastis
enfin,finally,pagaliau
espÃ¨re,spare,atsargiai
eau,water,vanduo
attendez,wait,laukti
parti,left,kairėje
nouvelle,news,žinios
boulot,gig,Gig
arrÃªter,stop,sustabdyti
dirait,would say,sakyčiau
terre,earth,žemė
compte,account,sąskaita
donne,given,duota
loin,far,toli
fin,end,pabaiga
croire,to believe,tikėti
chÃ©rie,shit,šūdas
gros,big,didelis
plutÃ´t,rather,veikiau
aura,will have,turėsiu
filles,girls,merginos
jouer,to play,žaisti
bureau,desk,stalas
